serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
SE015684`XCY0`w01460bs1`SWITCH`N/A`N/A`100 3122 MOUNT LEHMAN ROAD`XCY0
SE013888`XCY0`w04120bs1`SWITCH`N/A`N/A`100 MILE HOUSE`XCY0
TORDLPAETF001`TIS0`N/A`N/A`N/A`N/A`100 WELLINGTON ST. (COLO)`TIS0
TORPLPAETF002`TIS0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`TIS0
TORPLPAETF003`TIS0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`TIS0
TORPLPAETG018`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG019`ZNY0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`ZNY0
TORPLPAETG022`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG023`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG024`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG025`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG026`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG027`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG028`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG029`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG030`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG031`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG032`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG033`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG034`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG035`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG036`UUV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPAETG045`VER0`q9gellns3`SWITCH`N/A`N/A`100 WELLINGTON ST. (COLO)`VER0
TORPLPAETG046`VER0`q9gellns3`SWITCH`N/A`N/A`100 WELLINGTON ST. (COLO)`VER0
TORPLPAETG047`VER0`q9gellns3`SWITCH`N/A`N/A`100 WELLINGTON ST. (COLO)`VER0
TORPLPANGPETG01`TEL0`N/A`N/A`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGPETG02`TEL0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGPETG03`TEL0`N/A`N/A`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGPOMS1`TEL0`q9gellns8`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGPOMS2`TEL0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGPOMS3`TEL0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGPOMS4`TEL0`q9gellns8`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPANGSETG01`TEL0`N/A`N/A`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPASOLC01`WCV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`SKR0
TORPLPASOLC02`WCV0`q9gellns4`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`SKR0
TORPLPATHORFG01`UUV0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPATHORFG02`UUV0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPATHORFG03`UUV0`N/A`N/A`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPATHORFG04`UUV0`q9gellns8`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`N/A
TORPLPATHORFG05`TEL0`q9gellns7`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPATHORFG06`UUV0`N/A`N/A`N/A`N/A`100 WELLINGTON ST. (COLO)`UUV0
TORPLPATHORFG07`UUV0`q9gellns5`SWITCH-ROUTER`N/A`N/A`100 WELLINGTON ST. (COLO)`WWD0
